2020-06-10 09:45:21,562	Start.******************************
2020-06-10 09:45:21,662	template: A200610.084508.dat
2020-06-10 09:45:21,662	----------
2020-06-10 09:45:21,663	ch_zoff 1.10
2020-06-10 09:45:21,663	ch_bias 0.00
2020-06-10 09:45:21,663	scan for alignment to template
2020-06-10 09:48:56,150	cc_file_4align: A200610.094523.dat
2020-06-10 09:48:56,150	Align to template
2020-06-10 09:48:56,653	[dy, dx] = [0. 0.]
2020-06-10 09:49:01,810	const current mode scan
2020-06-10 09:52:36,310	cc: A200610.094904.dat
2020-06-10 09:52:36,311	const height mode scan
2020-06-10 10:06:42,772	ch: A200610.095239.dat
2020-06-10 10:06:42,772	----------
2020-06-10 10:06:42,775	ch_zoff 1.20
2020-06-10 10:06:42,775	ch_bias 0.00
2020-06-10 10:06:42,786	scan for alignment to template
2020-06-10 10:10:17,484	cc_file_4align: A200610.100645.dat
2020-06-10 10:10:17,484	Align to template
2020-06-10 10:10:17,812	[dy, dx] = [-2.5  0. ]
2020-06-10 10:10:22,965	const current mode scan
2020-06-10 10:13:57,433	cc: A200610.101025.dat
2020-06-10 10:13:57,434	const height mode scan
2020-06-10 10:28:03,859	ch: A200610.101400.dat
2020-06-10 10:28:03,860	----------
2020-06-10 10:28:03,861	ch_zoff 1.30
2020-06-10 10:28:03,862	ch_bias 0.00
2020-06-10 10:28:03,864	scan for alignment to template
2020-06-10 10:31:38,586	cc_file_4align: A200610.102806.dat
2020-06-10 10:31:38,586	Align to template
2020-06-10 10:31:38,913	[dy, dx] = [-2. -1.]
2020-06-10 10:31:44,069	const current mode scan
2020-06-10 10:35:18,517	cc: A200610.103146.dat
2020-06-10 10:35:18,518	const height mode scan
2020-06-10 10:49:24,964	ch: A200610.103521.dat
2020-06-10 10:49:24,965	----------
2020-06-10 10:49:24,968	ch_zoff 1.40
2020-06-10 10:49:24,968	ch_bias 0.00
2020-06-10 10:49:24,970	scan for alignment to template
2020-06-10 10:52:59,661	cc_file_4align: A200610.104927.dat
2020-06-10 10:52:59,661	Align to template
2020-06-10 10:52:59,983	[dy, dx] = [-1. -2.]
2020-06-10 10:53:05,131	const current mode scan
2020-06-10 10:56:39,621	cc: A200610.105307.dat
2020-06-10 10:56:39,621	const height mode scan
2020-06-10 11:10:46,059	ch: A200610.105642.dat
2020-06-10 11:10:46,059	----------
2020-06-10 11:10:46,060	ch_zoff 1.50
2020-06-10 11:10:46,061	ch_bias 0.00
